wallet_address,name,pseudonym,lifetime_volume_usd,lifetime_profit_usd,in_window_trade_count,in_window_volume_usd,distinct_markets,a1_pre_resolution_edge,a3_dormant_activation,b4_specialist,b5_side_purity,c6_size_anomaly,d8_brier_excess,d9_direction_precision,antisignal_doxxed,antisignal_marketmaker,composite_score,composite_rank
0xe72b5161380c12a3da4ea6d53be7b9e85e693c9c,0xe72b5161380c12a3da4ea6d53be7b9e85e693c9c,0xe72b5161380c12a3da4ea6d53be7b9e85e693c9c,1807547.8546370005,7206.026985210483,52,18440.14,6,0.0,0.0,0.0,0.6667,0.7331,1.0,1.0,0.0,0.0,0.4433,3
0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,Dropper,Dropper,46189860.554957,1113521.5245275525,19,86887.19,9,0.0,0.5492,0.0,0.8889,0.5901,1.0,0.4474,0.0,0.0,0.4326,5
0x77e595582f4509ff3672c58c143e44bddcc2ec41,88888888888888888,88888888888888888,387167.9133319999,1145.280874153643,28,6400.86,25,0.0,0.2222,0.0,0.96,0.3896,1.0,1.0,0.0,0.0,0.4287,6
0xe069d0d68bb556f8fe7f7229f17b5dbe6a833c17,0xe069D0D68bb556F8fE7f7229f17B5dbe6a833C17-1751824858214,0xe069D0D68bb556F8fE7f7229f17B5dbe6a833C17-1751824858214,1380779.267922,-806.3124553228928,530,4553.63,16,0.0,0.0,0.0,0.6875,0.6777,1.0,0.9025,0.0,0.0,0.4263,9
0x95074f700f93bdf6e62fc965e0832064c0877b04,LuckyPierrot,LuckyPierrot,51618173.26067199,104596.0643737402,69,438952.26,14,0.0,0.0,0.0,0.7143,0.5752,1.0,1.0,0.0,0.0,0.422,12
0x43372356634781eea88d61bbdd7824cdce958882,Anjun,Anjun,147710540.709575,1044538.7235101975,21,41068.58,15,0.0,0.3333,0.0,0.2,0.4875,1.0,1.0,0.0,0.0,0.4165,13
0x241f846866c2de4fb67cdb0ca6b963d85e56ef50,Pestle,Pestle,187129884.515207,1900081.974376869,60,210419.09,34,0.0,0.0,0.0,0.0588,0.8259,1.0,0.8889,0.0,0.0,0.4157,15
0x14393c5e8ff270e1569b3c44ce986009715fc73c,0x14393c5e8ff270e1569b3c44ce986009715fc73c,0x14393c5e8ff270e1569b3c44ce986009715fc73c,2510904.931828,13495.869408345752,27,4538.63,11,0.0,0.0,0.0,0.4545,0.6872,1.0,0.8827,0.0,0.0,0.4141,16
0xbacd00c9080a82ded56f504ee8810af732b0ab35,ScottyNooo,ScottyNooo,131264241.94886804,1003130.8293566939,338,436929.82,51,0.0,0.0285,0.0,0.4706,0.6791,1.0,0.8393,0.0,0.0,0.4122,18
0x8564848285e54c65f6cc2e3930b49362fbd84b2e,AllYourMoniesAreBelongToMe,AllYourMoniesAreBelongToMe,2259889.1259419997,122784.86549050215,17,9795.94,5,0.0,0.3333,0.0,1.0,0.5074,0.7543,1.0,0.0,0.0,0.4103,19
0xd0394bd0de8d901c3fde039a86bf08e6aa4a2532,pantomime,pantomime,19806373.092558995,149933.31970830506,23,53857.36,14,0.0,0.1597,0.0,0.1429,0.7336,0.9689,0.7754,0.0,0.0,0.4045,22
0xdacf9f8d0341fa3770fae5c7ccd9dcfed23e3c74,CosmicCedar,CosmicCedar,1385649.0312710002,12883.59422672016,51,17831.1,8,0.0,0.0,0.0,0.5,0.5275,1.0,1.0,0.0,0.0,0.4041,23
0xe103707480b4f1625bce4084795f91ac503459fd,ganatalak,ganatalak,6452335.875019999,65039.05472597242,22,2699.45,15,0.0,0.0,0.0,0.7333,0.5031,1.0,0.8939,0.0,0.0,0.4015,27
0xcf688d9dba92c7902b7484bb314f1f257f4c0ce4,test17727,test17727,5944.605023,217.377546973285,35,2581.09,1,0.0,0.0,0.0,0.0,0.6705,1.0,1.0,0.0,0.0,0.4006,29
0xf26c5c8e24a02858339d9d817458b08861fbebe5,AnonymousDog,AnonymousDog,53209.837971,2420.595382392299,18,4001.25,1,0.0,0.0,0.0,0.0,0.7254,0.9491,1.0,0.0,0.0,0.3986,33
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,ArmageddonRewardsBilly,416945171.679035,110187.93704880826,271,126736.98,95,0.0,0.3333,0.0,0.0421,0.4139,1.0,1.0,0.0,0.0,0.3975,34
0xd189664c5308903476f9f079820431e4fd7d06f4,rwo,rwo,132268516.74995501,663829.9373551664,19,164162.84,5,0.0,0.0,0.0,0.6,0.4476,1.0,1.0,0.0,0.0,0.3971,38
0x22e4248bdb066f65c9f11cd66cdd3719a28eef1c,ProfessionalPunter,ProfessionalPunter,13180301.979206,298086.4651501529,20,10109.6,6,0.0,0.0,0.0,0.1667,0.7563,0.9506,0.8333,0.0,0.0,0.3952,41
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,debased,458197259.479145,1480729.4679792207,27,63971.99,9,0.0,0.0,0.0,0.3333,0.8482,1.0,0.5123,0.0,0.0,0.3951,42
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,ImJustKen,ImJustKen,474649591.65074104,3110502.935778887,52,59880.71,31,0.0,0.0797,0.0,0.5484,0.3959,1.0,1.0,0.0,0.0,0.3948,43
