wallet_address,market_condition_id,market_question,resolved_outcome,side_outcome,buy_price,buy_size_usd,hours_pre_res,implied_profit_usd,buy_timestamp_utc
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6,5738.91195,324.5,3825.94,2025-11-20T18:54:39+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6,11952.84,315.3,7968.56,2025-11-21T04:07:05+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.63,5025.0564,300.6,2951.22,2025-11-21T18:51:19+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6483957384783231,19208.1791,286.3,10415.98,2025-11-22T09:10:05+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.65,14507.2005,278.8,7811.57,2025-11-22T16:36:39+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.63,31500.0,247.6,18500.0,2025-11-23T23:50:33+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.63,5836.9752,247.6,3428.06,2025-11-23T23:50:33+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6,20904.36,212.7,13936.24,2025-11-25T10:42:59+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.61,68583.9653,203.8,43848.76,2025-11-25T19:35:59+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6,13513.7262,194.2,9009.15,2025-11-26T05:11:59+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6,5601.9,166.1,3734.6,2025-11-27T09:18:51+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.6,6182.4,166.1,4121.6,2025-11-27T09:19:55+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.4822324300895752,39052.2431,58.4,41929.96,2025-12-01T21:02:18+00:00
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,0xb9b05c3a14c6a7c1c6c00a8c214ed154d4232a885f98ebfd01889204ed252931,Will Pope Leo XIV be the #1 searched person on Google this year?,No,No,0.49989815136424615,9815.5102,48.5,9819.51,2025-12-02T06:53:46+00:00
